id,infinitiv,präsens,präteritum,partizip2,translation
1,backen,bäckt/backt,buk/backte,gebacken,печь
2,befehlen,befiehlt,befahl,befohlen,приказывать
3,beginnen,beginnt,begann,begonnen,начинать
4,beißen,beißt,biß,gebissen,кусать
5,bergen,birgt,barg,geborgen,спасать
6,bersten,birst,barst,geborsten,лопнуть
7,biegen,biegt,bog,gebogen,гнуть
8,bieten,bietet,bot,geboten,предлагать
9,binden,bindet,band,gebunden,связывать
10,bitten,bittet,bat,gebeten,просить
11,blasen,bläst,blies,geblasen,дуть
12,bleiben,bleibt,blieb,geblieben,оставаться
13,braten,brät,briet,gebraten,жарить
14,brechen,bricht,brach,gebrochen,ломать
15,brennen,brennt,brannte,gebrannt,гореть
16,bringen,bringt,brachte,gebracht,приносить
17,denken,denkt,dachte,gedacht,думать
18,dreschen,drischt,drosch,gedroschen,молотить
19,dringen,dringt,drang,gedrungen,проникать
20,dürfen,darf,durfte,gedurft,мочь(иметьразрешение)
21,empfangen,empfängt,empfing,empfangen,принимать
22,empfehlen,empfiehlt,empfahl,empfohlen,рекомендовать
23,erlöschen,erlischt,erlosch,erloschen,"потухать,прекращаться"
24,erschrecken,erschrickt,erschrak,erschrocken,пугаться
25,essen,isst,aß,gegessen,"есть,кушать"
26,fahren,fährt,fuhr,gefahren,"ехать,ездить"
27,fallen,fällt,fiel,gefallen,падать
28,fangen,fängt,fing,gefangen,ловить
29,fechten,ficht,focht,gefochten,фехтовать
30,finden,findet,fand,gefunden,находить
31,flechten,flicht,flocht,geflochten,плести
32,fliegen,fliegt,flog,geflogen,летать
33,fliehen,flieht,floh,geflohen,"убегать,удирать"
34,fließen,fließt,floss,geflossen,"течь,литься"
35,fressen,frisst,fraß,gefressen,"жрать,лопать"
36,frieren,friert,fror,gefroren,замерзать
37,gären,gärt,gor,gegoren,бродить
38,gebären,gebärt/gebiert,gebar,geboren,родить
39,geben,gibt,gab,gegeben,давать
40,gedeihen,gedeiht,gedieh,gediehen,"расти,преуспевать"
41,gehen,geht,ging,gegangen,"идти,ходить"
42,gelingen,gelingt,gelang,gelungen,удаваться
43,gelten,gilt,galt,gegolten,"стоить,цениться"
44,genesen,genest,genas,genesen,выздоравливать
45,genießen,genießt,genoss,genossen,наслаждаться
46,geschehen,geschieht,geschah,geschehen,происходить
47,gewinnen,gewinnt,gewann,gewonnen,выигрывать
48,gießen,gießt,goss,gegossen,"лить,наливать"
49,gleichen,gleicht,glich,geglichen,выравнивать
50,gleiten,gleitet,glitt,geglitten,скользить
51,graben,gräbt,grub,gegraben,копать
52,greifen,greift,griff,gegriffen,браться(зачто-л.)
53,haben,hat,hatte,gehabt,иметь
54,halten,hält,hielt,gehalten,держать
55,hängen,hängt,hing,gehangen,висеть
56,hauen,haut,haute/hieb,gehauen,рубить
57,heben,hebt,hob,gehoben,поднимать
