id,word,translation
1,die Leute,люди
2,der Mensch,человек
3,der Mann,мужчина; муж
4,die Frau,женщина; жена
5,das Kind,ребенок
6,der Junge,мальчик
7,das Mädchen,девочка
8,der Freund,друг
9,der Bekannte,знакомый
10,der Nachbar,сосед
11,der Gast,гость
12,der Chef,начальник; шеф
13,der Konkurrent,конкурент
14,der Kunde,"клиент, покупатель"
15,der Kollege,коллега
16,die Familie,семья
17,die Eltern,родители
18,der Vater,отец
19,der Vati,папа
20,die Mutter,мать
21,die Mutti,мама
22,der Sohn,сын
23,die Tochter,дочь
24,der Bruder,брат
25,die Schwester,сестра
26,der Großvater,дед
27,der Opa,дедушка
28,die Großmutter,бабушка
29,die Oma,бабуля
30,der Enkel,внук
31,die Enkelin,внучка
32,der Schwiegervater,"тесть, свекор"
33,die Schwiegermutter,"тёща, свекровь"
34,der Onkel,дядя
35,die Tante,тетя
36,der Cousin [кузэн],двоюродный брат
37,die Kusine,двоюродная сестра
38,der Neffe,племянник
39,die Nichte,племянница
40,die Arbeit,работа
41,der Geschäftsmann,бизнесмен
42,der Lehrer,учитель
43,der Fahrer,водитель
44,der Arbeiter,рабочий
45,der Ingenieur,инженер
46,der Arzt,врач
47,der Rechtsanwalt,адвокат
48,der Journalist,журналист
49,die Krankenschwester,медсестра
50,der Verkäufer,продавец
51,der Kellner,официант
52,der Buchhalter,бухгалтер
53,der Maler,художник
54,der Musiker,музыкант
55,der Schauspieler,актер
56,der Student,студент
57,der Schüler,"школьник, ученик"
58,das Tier,животное
59,die Katze,кошка
60,der Hund,собака
61,der Vogel,птица
62,das Eichhörnchen,белка
63,der Wolf,волк
64,die Gans,гусь
65,die Giraffe,жираф
66,das Kaninchen,кролик
67,der Hase,заяц
68,die Kuh,корова
69,die Ratte,крыса
70,der Fuchs,лиса
71,das Pferd,лошадь
72,der Frosch,лягушка
73,der Bär,медведь
74,die Maus,мышь
75,der Affe,обезьяна
76,das Schwein,свинья
77,der Elefant,слон
78,die Ente,утка
79,das Land,страна; сельская местность; земля
80,Russland,Россия 
81,Deutschland,Германия
82,Österreich,Австрия
83,die Schweiz,Швейцария
84,die Stadt,город
85,das Haus,дом
86,das Gebäude,здание
87,der Platz,площадь; место
88,der Eingang,вход
89,der Ausgang,выход
90,das Zentrum,центр
91,der Hof,двор
92,das Dach,крыша
93,der Zaun,забор
94,das Dorf,"деревня, поселок"
95,die Schule,школа
96,die Universität,университет
97,das Theater,театр
98,die Kirche,церковь
99,das Restaurant,ресторан
100,das Cafe,кафе
101,das Hotel,гостиница
102,die Bank,банк
103,das Kino,кинотеатр
104,das Krankenhaus,больница
105,die Polizei,полиция
106,das Postamt,почта
107,der Bahnhof,"станция, вокзал"
108,der Flughafen,аэропорт
109,das Geschäft,магазин
110,die Apotheke,аптека
111,der Markt,рынок
112,das Büro,офис
113,die Firma,фирма
114,der Betrieb,предприятие
115,die Straße,улица
116,der Weg,дорога
117,die Kreuzung,перекрёсток
118,die Haltestelle,остановка
119,der Gehsteig,тротуар
120,der Pfad,"тропа, тропинка"
121,der Garten,сад
122,der Park,парк
123,die Brücke,мост
124,der Fluss,река
125,der Wald,лес
126,das Feld,поле
127,der Berg,гора
128,der See,озеро
129,das Meer,море
130,der Ozean,океан
131,die Küste,"морской берег, побережье"
132,der Strand,пляж
133,der Sand,песок
134,die Insel,остров
135,die Grenze,граница
136,der Zoll,таможня
137,der Müll,мусор
138,die Abfälle,отходы
139,der Stein,камень
140,die Pflanze,растение
141,der Baum,дерево
142,das Gras,трава
143,die Blume,цветок
144,das Blatt,лист
145,die Wohnung,квартира
146,das Zimmer,комната
147,das Wohnzimmer,зал
148,das Schlafzimmer,спальня
149,das Badezimmer,ванная
150,die Dusche,душ
151,die Toilette,туалет
152,die Küche,кухня
153,der Flur,коридор
154,der Balkon,балкон
155,der Fußboden,пол
156,die Decke,потолок; одеяло
157,die Wand,стена
158,die Treppe,лестница
159,die Tür,дверь
160,das Fenster,окно
161,das Fensterbrett,подоконник
162,die Gardine,"занавес(ка), штора"
163,der Schalter,выключатель; окошко (кассы)
164,die Steckdose,розетка
165,der Wasserhahn,(водопроводный) кран
166,das Rohr,труба
167,der Schornstein,дымовая труба
168,die Möbel,мебель
169,der Tisch,стол
170,der Stuhl,стул
171,der Sessel,кресло
172,die Couch [кáуч],диван
173,das Bett,кровать
174,der Schrank,шкаф
175,das Regal,полка
176,der Spiegel,зеркало
177,der Teppich,ковер
178,der Kühlschrank,холодильник
179,die Mikrowelle,микроволновка
180,der Ofen,"печь, духовка"
181,der Herd,кухонная плита
182,die Lebensmittel,"еда, продукты"
183,das Brot,хлеб
184,die Butter,сливочное масло
185,das Öl,растительное масло
186,der Käse,сыр
187,die Wurst,колбаса
188,das Würstchen,сосиска
189,der Schinken,ветчина
190,das Fleisch,мясо
191,das Rindfleisch,говядина
192,das Schweinefleisch,свинина
193,das Lammfleisch,баранина
194,das Hähnchen,курица (мясо)
195,das Kotelett,"котлета, отбивная"
196,der Fisch,рыба
197,das Ei,яйцо
198,der Salat,салат
199,der Pilz,грибы
200,der Mais,кукуруза
201,der Brei,каша
202,die Haferflocken,овсянка
203,die Suppe,суп 
204,das belegte Brötchen,бутерброд
205,der Reis,рис
206,die Nudeln,лапша
207,das Mehl,мука
208,das Gewürz,"специя, пряность"
209,der Pfeffer,перец
210,das Salz,соль
211,die Zwiebel,лук (репчатый)
212,der Knoblauch,чеснок
213,die Soße,соус
214,das Gemüse,овощи
215,die Kartoffeln,картофель
216,die Mohrrübe,морковь
217,die Zuckerrübe,свекла
218,die Tomate,помидор
219,die Gurke,огурец
220,der Kohl,капуста
221,die Zucchini [цукини],кабачок
222,die Aubergine [обэр'жинэ],баклажан
223,die Bohnen,бобы
224,die Erbsen,горох
225,die Nuss,орех
226,das Obst,фрукты
227,der Apfel,яблоко
228,die Birne,груша
229,die Banane,банан
230,die Beere,ягода
231,die Erdbeere,"клубника, земляника"
232,die Himbeere,малина
233,die Kirsche,вишня
234,die Pflaume,слива
235,die Trauben,виноград
236,die Aprikose,абрикос
237,der Pfirsich,персик
238,die Melone,дыня
239,die Wassermelone,арбуз
240,der Kürbis,тыква
241,die Orange [орáнжэ],апельсин
242,die Mandarine,мандарин
243,die Zitrone,лимон
244,die Ananas,ананас
245,der Zucker,сахар
246,der Honig,мёд 
247,die Marmelade,варенье
248,der Kuchen,"торт, пирог"
249,das Brötchen,булочка
250,das Gebäck,печенье
251,die Süßigkeiten,"конфеты, сладости"
252,das Eis,мороженое; лёд
253,die Schokolade,шоколад
254,das Wasser,вода
255,das Sodawasser,газировка
256,der Saft,сок
257,der Wein,вино
258,der Tee,чай
259,der Kaffee,кофе
260,die Milch,молоко
261,die Sahne,сливки
262,der Joghurt,йогурт
263,der Quark,творог
264,das Geschirr,посуда
265,die Tasse,чашка
266,das Glas,стакан; стекло
267,der Becher,кружка
268,der Teller,тарелка
269,der Löffel,ложка
270,die Gabel,вилка
271,das Messer,нож
272,die Untertasse,блюдце
273,die Flasche,бутылка
274,die Serviette,салфетка
275,der Topf,кастрюля; горшок
276,die Pfanne,сковородка 
277,der Kessel,чайник; котел
278,die Mahlzeit,"принятие пищи, еда"
279,das Frühstück,завтрак
280,das Mittagessen,обед
281,das Abendessen,ужин
282,der Transport,транспорт
283,das Flugzeug,самолет
284,das Auto,автомобиль
285,die Straßenbahn,трамвай
286,der Bus,автобус
287,der Zug,поезд
288,das Schiff,корабль
289,das Fahrrad,велосипед
290,die Zeit,время
291,die Minute,минута
292,die Stunde,час
293,die Woche,неделя
294,das Jahr,год
295,das Jahrhundert,"век, столетие"
296,das Mal,раз
297,vorgestern,позавчера
298,gestern,вчера
299,heute,сегодня
300,morgen,завтра
301,übermorgen,послезавтра
302,der Tag,день
303,der Morgen,утро 
304,der Vormittag,время до полудня
305,der Nachmittag,время после полудня
306,der Abend,вечер
307,die Nacht,ночь
308,der Montag,понедельник
309,der Dienstag,вторник
310,der Mittwoch,среда
311,der Donnerstag,четверг
312,der Freitag,пятница
313,der Samstag,суббота
314,der Sonntag,воскресенье
315,der Monat,месяц
316,der Januar,январь
317,der Februar,февраль
318,der März,март
319,der April,апрель
320,der Mai,май
321,der Juni,июнь
322,der Juli,июль
323,der August,август
324,der September,сентябрь
325,der Oktober,октябрь
326,der November,ноябрь
327,der Dezember,декабрь
328,die Jahreszeit,время года
329,der Frühling,весна
330,der Sommer,лето
331,der Herbst,осень
332,der Winter,зима
333,das Fest,праздник
334,das Weihnachten,Рождество
335,das Ostern,Пасха
336,der Geburtstag,день рождения
337,das Formular,"формуляр, бланк"
338,der Name,"имя, фамилия; название"
339,der Vorname,имя
340,der Familienname,фамилия
341,der Mädchenname,девичья фамилия
